Bedrooms,Bathrooms,SquareFootageHouse,Location,Age,PoolQuality,HasPhotovoltaics,HeatingType,HasFiberglass,IsFurnished,DateSinceForSale,HouseColor,HasFireplace,KitchensQuality,BathroomsQuality,BedroomsQuality,LivingRoomsQuality,SquareFootageGarden,PreviousOwnerRating,HeatingCosts,WindowModelNames,Price
1,1,46,0,68,,,0,0,1,19757,0,0,1,1,2,1,13,1.65,,0,96.41513
1,1,88,0,20,0,1,1,0,1,19753,1,0,1,1,1,2,6,3.06,,1,78.5687
,1,122,1,40,0,,0,0,1,19599,1,0,1,1,0,1,6,3.12,,1,184.70391
,2,112,2,69,0,0,1,1,1,19434,0,0,2,2,2,1,6,4.27,67.2,1,246.09376
1,,42,,16,3,0,2,0,0,19564,2,0,1,2,2,0,30,1.41,,2,241.27139
2,1,92,1,42,0,0,0,0,0,18825,0,0,0,0,0,0,6,4.57,,0,140.79436
,1,110,2,63,0,1,2,0,1,19177,0,0,1,2,0,0,6,1.35,174.4,1,259.71566
5,5,130,2,15,,0,1,0,0,19729,1,0,0,1,2,2,30,2.47,78.0,2,452.49783
,,62,0,43,0,0,1,1,1,19034,1,0,1,1,0,1,6,2.02,37.2,1,60.23668
,1,88,1,52,0,0,0,1,1,19529,2,0,2,1,1,1,6,2.95,88.0,0,206.43183
1,1,147,2,66,2,0,1,0,1,18616,2,0,1,1,0,2,18,1.42,,2,404.10064
,,20,,25,,0,0,0,1,19595,1,0,1,2,0,1,6,2.43,,1,38.2602
,,95,,,0,0,1,0,1,18287,0,0,1,1,0,1,6,4.36,57.0,0,215.01675
1,1,,,,2,1,0,0,1,19603,3,0,2,0,0,1,18,2.31,,1,51.50734
1,1,38,2,,1,0,0,1,0,18716,2,0,2,1,2,0,13,2.9,39.0,0,177.82663
,1,65,2,57,,1,0,0,1,19715,0,0,1,1,2,1,6,4.26,64.0,1,158.26072
2,,89,0,59,1,0,2,1,1,19311,0,0,2,1,2,1,13,3.15,142.4,1,125.94835
1,,78,0,15,3,0,0,0,1,19491,2,0,1,1,1,1,30,2.73,76.0,1,120.0042
3,2,133,2,24,0,0,2,1,0,19561,1,0,2,0,2,0,6,3.25,,2,437.785
1,,53,0,29,1,0,0,1,1,19582,2,0,0,0,1,2,13,3.06,,2,140.10877
,2,77,0,43,0,1,1,1,1,18809,3,0,1,1,0,1,6,2.73,45.6,1,66.69446
,1,58,2,70,1,0,0,0,1,19394,0,0,1,1,1,1,13,2.54,,0,231.8549
1,1,25,2,12,0,1,1,1,1,19076,0,0,1,0,0,0,6,2.81,,1,80.99881
1,2,107,0,42,0,0,2,0,0,18293,2,0,1,0,1,2,6,2.39,,1,93.19452
,2,92,1,24,0,,2,1,0,19586,3,0,2,1,0,2,6,1.54,147.2,1,170.18799
,,104,,19,2,0,2,0,0,19404,2,0,2,1,0,1,18,1.29,164.8,2,178.2931
1,,22,1,,0,1,1,0,1,18727,0,0,1,2,1,2,6,2.95,,0,102.57766
3,2,139,1,51,0,1,2,1,1,19094,1,0,1,1,1,1,6,2.71,220.8,1,261.3923
2,,113,2,,,0,2,1,0,18298,3,0,0,1,2,1,18,3.52,180.8,0,322.41243
,1,114,0,,0,1,1,0,1,19764,1,0,1,0,1,1,6,1.75,67.2,2,140.81174
,,90,1,32,,1,0,1,0,18412,2,0,1,2,0,0,6,2.46,91.0,0,164.74893
1,1,43,,14,,1,2,1,0,18397,2,0,1,1,1,2,6,2.51,,1,97.84387
1,,30,,,0,0,0,0,1,18676,3,0,1,1,2,1,6,1.96,30.0,1,81.19021
1,1,54,2,41,0,1,2,0,1,18711,0,0,1,1,2,1,6,4.14,,2,305.9297
,2,82,0,27,1,0,2,1,0,18741,2,0,0,0,0,1,13,1.02,,1,85.74889
2,,113,0,64,0,0,0,1,0,18705,1,0,2,2,1,0,6,3.05,112.0,1,90.83978
,3,120,0,52,0,0,1,1,1,19653,3,0,0,1,1,1,6,2.02,72.0,0,128.85314
2,2,86,0,38,,1,2,0,0,19575,1,0,1,2,1,1,18,2.77,,0,137.04618
,5,144,0,43,0,0,2,0,1,19015,3,0,1,1,1,1,6,1.74,,0,196.7862
,1,40,0,55,0,0,0,1,1,19393,1,0,2,2,2,1,6,3.25,,0,95.0582
,1,24,1,51,0,0,1,0,1,18431,3,0,1,1,1,2,6,1.65,,2,154.4858
1,1,42,1,65,0,0,1,1,1,18971,0,0,1,1,0,2,6,3.2,,2,175.81998
1,1,54,2,44,2,0,2,0,1,18993,1,0,2,1,0,2,18,2.12,84.8,2,355.11076
2,4,143,1,43,,0,1,0,1,19093,1,0,1,1,2,2,6,2.35,85.8,2,297.08753
1,1,48,2,62,3,0,2,1,0,19358,0,0,1,1,0,0,30,3.22,80.0,0,261.60197
,1,92,1,56,,0,2,1,0,18399,2,0,1,2,2,2,6,2.51,,0,200.70364
5,,144,2,,0,0,1,1,1,19237,0,0,1,2,1,1,6,3.79,88.2,2,428.08389
2,3,,2,45,1,0,1,1,1,18798,1,0,1,2,2,1,13,1.7,61.8,2,391.18856
1,1,41,,49,,0,0,0,1,18759,1,0,2,1,0,1,6,3.03,41.0,0,76.49827
,1,139,0,28,0,,0,0,1,19274,0,0,1,0,1,1,6,3.1,139.0,2,184.37198
1,,87,1,,0,0,2,0,1,19390,2,0,1,2,1,2,6,2.99,,1,167.04942
1,1,68,0,23,0,0,1,0,1,19587,1,0,0,0,1,1,6,1.59,,1,55.39365
,1,37,1,52,2,0,0,0,1,18940,0,0,1,1,1,1,18,4.24,,0,155.70577
1,1,31,0,32,0,0,1,0,1,18839,0,0,2,2,2,0,6,2.57,,2,106.32176
2,3,113,2,57,0,0,1,0,1,19132,2,0,2,1,1,2,6,2.01,67.8,0,294.29462
3,,128,,66,,0,0,0,1,18818,1,0,0,2,1,0,6,1.9,,1,106.3152
1,2,95,1,17,3,0,2,0,1,19453,1,0,2,1,1,1,30,1.54,,0,319.4221
2,1,87,1,46,0,0,1,1,1,19370,3,0,1,1,2,1,6,1.33,,0,189.03683
4,2,128,,12,0,0,1,1,1,19302,2,0,1,2,2,0,6,1.67,78.0,0,251.00054
,2,145,,,2,0,2,0,1,18593,0,0,1,1,1,1,18,4.73,,0,468.50897
1,,41,1,41,,0,1,0,1,18940,0,0,0,1,1,2,6,3.37,24.0,1,69.89245
,2,72,2,17,2,0,2,0,1,18263,0,0,1,1,1,1,18,4.54,116.8,1,254.46161
,2,80,,36,1,0,1,1,1,18940,3,0,2,2,1,0,13,1.87,47.4,1,90.51519
1,1,55,1,,3,0,1,0,1,19769,3,0,1,1,1,0,30,1.72,,1,141.13943
1,,69,2,,,0,1,0,0,19107,2,0,1,0,2,1,6,2.06,40.8,2,219.77459
1,1,25,0,,2,0,2,0,0,18931,0,0,1,2,1,1,18,4.32,38.4,0,74.8947
2,1,62,0,33,,0,1,0,1,19039,0,0,1,2,2,1,6,2.11,,0,96.33517
1,1,74,1,46,2,0,1,0,0,19648,1,0,2,1,1,1,18,2.4,,2,210.21342
,2,64,1,,0,1,1,0,1,19092,3,0,1,0,2,1,6,2.25,,0,135.85347
1,,61,0,34,0,0,0,1,1,18499,3,0,1,2,1,1,6,2.06,,0,98.95543
1,1,99,1,42,2,0,2,1,0,18424,3,0,1,1,0,1,18,3.34,,0,216.57231
,1,50,0,28,1,0,0,0,1,18450,1,0,1,1,1,2,13,2.81,49.0,1,67.16359
2,2,74,0,27,0,1,1,0,1,19212,0,0,1,0,1,1,6,3.67,44.4,2,128.40403
4,4,137,2,,0,1,2,1,1,18662,1,0,1,0,2,2,6,2.41,219.2,0,441.05025
,,119,2,58,0,,1,0,1,19575,2,0,1,2,1,1,6,2.88,72.0,0,289.9213
1,,48,2,63,0,0,1,0,1,19601,2,0,0,2,1,1,6,1.21,,2,254.86948
1,1,46,,71,,0,2,0,1,18606,3,0,2,1,1,1,6,2.94,,1,57.89463
1,,86,0,,,1,1,1,1,19259,2,0,1,2,2,2,18,2.96,50.4,0,129.93928
,1,34,0,51,0,,1,1,1,19024,3,0,2,1,0,0,6,3.31,19.2,1,39.72991
3,3,126,1,41,,0,1,0,1,19442,1,0,1,1,2,1,6,1.73,,1,176.87952
,,131,2,31,2,1,2,1,0,19074,2,0,1,0,2,1,18,2.94,208.0,1,359.49444
2,2,135,,70,1,0,2,0,1,18480,1,0,2,2,2,1,13,2.64,217.6,2,215.79207
2,,114,1,41,0,0,2,1,1,18630,2,0,1,1,1,0,6,2.84,,1,206.15128
1,,38,,20,0,0,0,1,0,19007,3,0,1,2,2,1,6,1.54,,0,77.91556
1,,25,1,44,0,0,2,1,1,18625,2,0,1,2,2,1,6,1.37,,1,90.13752
1,1,98,2,50,0,1,2,0,1,19607,3,0,2,2,1,2,6,2.03,158.4,2,432.81053
1,2,69,1,67,1,0,1,1,0,18380,3,0,1,1,2,2,13,2.85,,2,189.27129
1,1,95,1,71,0,,0,0,0,18914,3,0,2,1,0,2,6,2.97,,2,201.11313
1,,125,1,36,3,1,2,0,1,18321,0,0,2,2,1,0,30,2.22,200.0,1,278.35973
,,108,,33,1,0,2,0,1,19361,1,0,2,0,1,1,13,3.28,171.2,1,222.06624
,1,23,0,43,0,0,2,0,1,18366,1,0,1,1,1,0,6,3.21,38.4,1,36.12811
,1,95,2,26,,,1,1,1,18389,1,0,0,0,1,1,18,2.93,57.6,2,357.57389
,,,0,47,0,0,0,1,0,18711,1,0,0,0,0,2,6,1.57,95.0,2,118.74909
1,1,24,,60,2,0,1,1,1,18774,3,0,2,1,1,0,18,2.5,,0,87.99958
,3,141,,51,0,0,1,0,1,18754,3,0,2,1,2,1,6,3.35,84.0,2,289.90447
1,2,105,,17,,0,1,0,1,18595,0,0,1,2,1,2,6,4.67,63.0,2,346.10199
2,3,127,1,27,3,0,2,1,1,18683,0,0,0,1,2,2,30,4.69,,0,365.55414
,,75,2,,,0,1,1,0,18845,2,0,2,1,2,0,6,1.89,45.6,1,132.40868
2,1,69,1,32,3,0,2,0,1,19475,3,0,1,1,2,2,30,1.33,,2,336.75564
1,2,140,0,65,0,0,2,1,1,18365,0,0,1,0,2,0,6,1.86,,1,141.0717
,1,97,,61,0,0,2,0,1,19288,1,0,2,0,0,2,6,2.23,,1,242.08507
1,2,129,2,43,0,0,1,1,0,19347,1,0,1,2,1,0,6,2.88,77.4,1,198.68932
2,,106,2,30,2,,2,1,1,19526,1,0,0,2,1,1,18,2.2,,0,438.60932
,,61,,53,0,0,0,1,1,19022,0,0,0,2,1,1,6,4.36,61.0,0,102.80152
,1,62,0,31,,0,2,1,0,18722,2,0,2,0,0,0,6,1.58,,2,115.92925
,,81,0,46,2,0,1,0,0,19401,0,0,1,2,1,0,18,3.47,,1,71.01309
1,,101,0,52,0,1,2,1,0,19024,2,0,0,2,1,1,6,1.54,163.2,2,150.10216
2,,84,2,35,0,1,2,0,1,19524,0,0,1,1,1,2,6,2.84,132.8,2,392.38495
1,1,57,,46,3,1,1,1,1,19744,0,0,2,2,1,1,30,4.31,33.0,0,327.22401
,2,98,,44,0,0,2,0,1,19658,0,0,1,2,1,1,6,3.53,155.2,2,184.01566
1,1,53,1,25,1,0,0,0,1,19687,2,0,0,2,0,2,13,2.78,52.0,0,174.59349
5,1,139,2,43,1,0,2,0,0,18298,1,0,1,0,0,1,13,2.49,219.2,2,402.41247
4,4,134,2,13,0,1,0,0,1,19155,3,0,2,2,1,2,6,1.6,,2,485.24458
,1,65,2,43,,1,2,1,0,18526,2,0,0,1,1,1,6,1.91,,1,157.51327
,,124,1,45,0,0,2,1,1,18699,0,0,1,2,1,2,6,4.73,,0,294.51367
,2,61,0,39,0,0,0,1,0,18326,1,0,1,1,1,2,6,2.44,,1,60.49951
,,116,0,10,2,0,2,0,1,18449,2,0,1,1,2,2,18,2.56,,0,184.92843
,,54,1,67,3,1,1,0,1,19109,3,0,2,1,2,0,30,2.28,32.4,2,251.81969
1,3,115,,64,0,,1,0,1,18669,0,0,2,0,1,2,6,3.96,69.0,0,193.494
,1,133,1,65,2,1,2,0,1,19154,3,0,2,0,2,1,18,1.56,211.2,0,316.9648
1,1,30,1,57,0,0,0,0,1,18626,2,0,1,1,1,1,6,1.2,,2,160.54858
,1,33,,25,1,1,2,0,1,19436,1,0,0,2,1,2,13,1.66,52.8,2,307.66075
2,2,106,2,52,0,0,2,1,0,18653,1,0,1,0,1,2,6,2.3,168.0,1,234.95163
,1,21,1,31,0,0,1,1,1,18746,3,0,1,0,1,0,6,3.3,12.6,1,54.68688
1,,52,1,,0,0,0,1,1,19234,1,0,1,1,2,1,6,1.53,51.0,0,147.36668
,,68,0,41,0,0,2,1,1,19796,1,0,2,1,2,0,6,3.47,,0,128.38954
1,1,83,1,20,2,1,2,0,0,18278,2,0,1,2,0,0,18,2.82,,1,152.69114
,2,77,2,26,0,0,0,0,0,18709,3,0,2,2,1,2,6,1.74,,1,169.56636
1,1,30,2,39,1,0,2,1,0,18854,1,0,2,1,0,1,13,3.29,,1,125.01933
1,1,47,1,64,0,0,1,0,0,18883,3,0,1,2,0,0,6,3.29,,1,53.1958
1,1,30,,63,0,0,0,1,1,18909,1,0,1,1,0,1,6,1.89,28.0,0,116.1301
1,,120,0,56,3,0,1,1,1,19554,0,0,1,1,1,1,30,2.89,72.0,1,140.22898
1,2,76,2,14,2,0,1,1,1,18917,3,0,1,2,0,2,18,2.29,,2,371.95595
2,2,61,2,,2,0,2,0,0,19000,0,0,2,2,1,1,18,4.9,,1,199.58647
,,110,0,32,0,1,1,0,1,18617,3,0,0,2,1,1,6,2.33,,2,146.00907
,,26,2,,0,0,0,0,1,19133,1,0,2,2,1,1,6,2.02,,0,162.9264
5,1,147,1,,1,0,0,1,0,19696,3,0,2,1,2,1,13,2.2,148.0,2,305.86283
2,2,65,0,66,0,0,0,1,1,18977,1,0,1,0,2,0,6,2.67,,1,68.37273
,,28,1,,1,0,0,0,1,19649,3,0,0,1,2,0,13,3.16,29.0,0,127.71217
1,,67,0,25,2,0,1,1,0,18735,2,0,0,1,1,1,18,2.31,,0,93.01801
1,1,146,1,,3,1,2,0,1,18346,1,0,2,2,1,0,30,3.36,235.2,1,292.37802
,,25,2,56,0,0,0,1,0,19778,3,0,1,2,1,2,6,2.86,,2,225.47934
1,1,31,1,70,0,0,1,1,0,18751,2,0,1,1,1,1,6,2.73,18.6,2,137.21808
,1,127,0,34,0,0,2,1,1,19754,3,0,1,2,2,2,6,2.63,,0,193.37909
2,2,59,1,48,2,,2,0,0,18788,0,0,1,1,1,0,18,1.82,96.0,1,129.65361
1,1,55,0,25,0,0,1,1,0,18596,3,0,1,2,1,1,6,2.16,,1,51.55194
,1,91,,44,1,1,2,1,1,18390,1,0,1,2,1,0,13,2.72,142.4,2,397.33638
1,2,127,1,49,1,0,0,0,1,18392,0,0,2,2,2,0,13,3.45,,0,250.08549
1,,114,2,56,0,0,0,0,0,19729,0,0,2,1,1,0,6,1.38,,2,319.19087
,,69,,,2,1,0,1,1,18608,0,0,2,2,0,1,18,1.36,69.0,2,252.92383
2,2,82,2,60,0,0,1,0,1,18618,0,0,2,1,1,2,6,3.26,48.6,1,167.3017
1,,132,2,57,1,0,1,1,1,18380,1,0,2,0,1,2,13,3.31,,0,332.83315
,3,111,2,50,0,0,2,0,1,19369,1,0,0,0,2,1,6,2.99,179.2,0,373.57315
,2,79,2,,2,0,1,0,0,19794,2,0,2,1,0,0,18,1.91,46.8,0,220.73056
2,,98,2,37,0,0,1,0,0,19341,0,0,0,1,0,2,6,3.73,,1,151.75748
1,1,67,1,,0,0,0,0,1,19058,0,0,2,2,0,1,6,1.64,67.0,1,106.80933
2,1,146,2,10,0,0,0,0,0,18432,0,0,1,2,0,1,6,3.1,146.0,1,238.88205
3,3,124,2,32,0,0,2,0,1,18303,0,0,1,1,2,1,6,3.55,200.0,1,326.62529
2,1,98,0,58,0,1,0,0,1,19439,3,0,1,1,1,1,6,3.44,,0,120.47162
1,1,46,0,47,2,0,0,0,1,19335,1,0,2,1,1,1,18,3.04,,1,74.88215
,,87,1,,1,1,1,0,1,19388,3,0,0,0,2,1,13,3.46,52.2,0,168.77339
1,,68,2,,,0,2,0,0,19673,2,0,1,1,1,0,6,1.98,110.4,0,206.3131
,1,55,,20,1,0,1,0,0,19418,0,0,1,1,1,1,13,3.9,31.8,0,188.96531
1,,93,0,29,,0,1,0,1,19093,0,0,2,1,2,2,30,4.62,57.0,1,124.86128
1,3,113,1,47,1,,1,0,1,19584,3,0,1,0,1,0,13,3.14,66.6,2,261.31109
,,87,2,,0,0,1,1,1,19585,1,0,1,2,1,1,6,2.15,52.8,1,179.11177
3,2,116,1,,1,,0,0,0,18496,0,0,1,2,2,1,13,2.64,115.0,1,159.97369
,1,146,0,57,2,1,0,1,0,19783,2,0,0,2,1,1,18,2.2,,0,162.81268
2,1,81,1,,1,0,2,0,1,19208,0,0,2,2,0,1,13,4.65,129.6,0,242.03227
3,,115,0,31,0,0,2,1,1,19070,2,0,1,0,1,2,6,2.05,182.4,2,200.12144
2,1,98,0,,0,1,1,0,1,19038,3,0,0,1,1,1,6,3.7,,1,80.30705
1,2,128,0,18,0,0,0,0,0,18267,1,0,1,0,2,1,6,1.78,,2,138.92372
2,1,96,,59,0,0,1,0,1,18819,0,0,0,1,1,2,6,1.82,,2,220.30766
,4,133,0,64,2,0,0,0,1,18764,0,0,2,2,2,2,18,1.66,,2,209.81355
,2,143,0,23,0,0,2,1,1,19628,3,0,2,1,2,2,6,3.37,,1,184.69573
2,,145,1,52,2,0,2,1,1,18448,2,0,1,0,1,1,18,2.69,,1,277.03846
1,,120,1,,0,0,1,0,1,19062,3,0,1,1,1,1,6,2.38,,2,236.3225
,1,29,1,54,0,0,1,0,0,19115,2,0,0,2,1,1,6,2.06,16.8,1,46.85627
,1,114,1,44,0,0,2,1,1,19569,1,0,1,2,2,2,6,3.25,,0,296.7257
,3,,2,64,3,0,2,1,1,18341,3,0,0,2,1,2,30,1.44,187.2,2,528.42211
1,,54,2,60,3,0,2,1,1,18434,0,0,0,0,2,1,30,1.5,,2,379.65724
,1,31,2,52,0,0,2,1,0,18518,3,0,2,2,1,2,6,2.43,51.2,0,177.93333
,1,22,,40,0,0,0,0,1,19796,1,0,0,1,1,0,6,2.96,24.0,1,52.92772
2,1,64,1,42,0,0,0,0,1,19736,2,0,0,1,0,1,6,2.51,,2,212.07088
1,,75,0,52,0,1,1,0,1,19419,0,0,1,1,0,1,6,3.82,45.0,1,60.36603
1,,41,1,41,3,0,2,0,0,19210,0,0,1,0,2,1,30,4.01,,0,178.02702
,1,64,,,1,0,2,1,1,18315,2,0,1,1,1,1,13,1.99,,2,144.86344
1,,38,1,68,0,0,1,1,1,18843,0,0,1,1,1,0,6,3.12,22.8,2,166.95748
4,,142,1,,,0,1,0,1,19149,3,0,0,0,0,1,6,1.62,,1,156.0304
,,38,1,,1,0,0,1,1,18388,2,0,1,0,1,1,13,2.59,38.0,2,181.26479
2,2,121,0,,2,0,2,1,0,19183,3,0,0,0,1,1,18,2.38,,2,177.00025
1,1,26,1,,,0,0,0,0,18482,1,0,1,2,0,1,18,1.76,,2,151.19209
,2,89,2,59,0,1,2,0,1,19039,1,0,0,2,0,1,6,2.93,,1,226.05531
,1,86,1,45,2,0,0,1,0,18681,2,0,2,1,1,2,18,1.12,,0,196.0116
,,121,2,,3,,0,0,1,18761,0,0,1,2,1,0,30,2.88,,0,383.64616
1,2,75,0,38,0,0,2,1,1,19209,2,0,2,0,1,0,6,1.69,118.4,0,125.2816
,3,109,,36,2,0,1,1,1,19126,3,0,0,2,1,2,18,3.3,64.8,2,181.65009
2,3,111,1,,0,0,1,1,1,18335,2,0,2,2,2,2,6,1.18,66.6,2,274.2626
1,1,37,2,55,0,0,2,0,0,19526,3,0,1,0,2,2,6,3.59,,2,231.13587
2,5,145,0,60,0,0,1,0,1,19776,1,0,2,1,2,1,6,2.94,86.4,0,154.86189
,2,124,0,71,0,0,2,0,0,19097,3,0,2,1,0,1,6,1.67,,2,163.41496
2,3,114,2,48,0,0,1,1,0,18695,2,0,1,1,1,0,6,2.59,67.8,2,293.60374
2,,93,2,14,0,1,1,1,1,18652,0,0,0,2,1,1,6,1.61,55.8,1,193.58434
,1,59,0,54,0,1,0,1,0,19791,1,0,1,1,2,1,6,1.62,,2,113.77768
1,1,59,1,69,1,0,1,1,0,18749,2,0,1,1,2,1,13,2.4,,2,176.2335
,3,,1,50,2,0,1,1,1,19511,2,0,1,0,0,2,18,1.87,,1,191.94354
1,2,66,2,44,2,1,0,1,1,19424,3,0,2,1,1,2,18,2.44,66.0,0,316.36422
1,1,29,0,60,0,0,0,1,0,18515,2,0,1,1,0,1,6,1.14,29.0,2,81.73613
1,,35,,,0,0,1,0,1,18423,0,0,2,2,0,0,6,3.96,21.0,0,61.16691
1,,120,,49,,0,2,0,1,18690,2,0,1,2,1,1,13,2.38,190.4,0,281.07825
3,2,149,,22,2,1,1,0,0,18692,2,0,1,2,1,0,18,2.96,88.8,1,180.89184
,1,53,1,39,2,1,1,0,1,19186,2,0,0,1,1,1,18,1.04,,1,112.5077
1,1,39,0,47,,0,0,0,1,18818,2,0,1,1,1,0,6,1.89,,2,103.9781
,,86,1,15,2,1,0,1,1,18957,0,0,2,1,0,1,18,2.96,,1,193.2984
1,1,31,,63,0,0,2,0,1,18849,1,0,1,0,1,2,6,2.52,,1,100.7381
,1,68,,35,0,0,1,0,1,19052,0,0,2,0,1,1,6,3.34,40.2,2,119.76785
,,55,2,60,2,,0,1,0,18810,3,0,1,2,2,1,18,2.0,,0,230.39902
,1,72,1,55,0,0,2,1,1,19068,3,0,1,2,2,2,6,1.51,116.8,2,274.64719
1,,28,1,44,2,0,2,0,1,19762,0,0,0,0,1,1,18,2.84,43.2,0,154.47082
3,1,145,,,0,1,1,0,1,19602,2,0,2,0,1,1,6,2.76,,2,388.03815
1,1,42,1,40,0,1,2,0,1,18401,0,0,2,2,2,2,6,2.27,62.4,0,159.24677
3,3,105,0,38,2,0,0,0,1,19302,3,0,2,2,2,0,18,3.0,,2,196.95277
1,,64,,56,2,0,2,0,1,18986,1,0,2,2,2,2,18,3.4,104.0,0,238.0323
3,,145,0,66,0,0,1,0,1,19536,2,0,1,2,1,0,6,2.25,87.6,0,136.55235
2,,99,1,50,3,1,1,0,1,18657,1,0,2,1,0,2,30,2.16,,1,194.68713
1,,55,2,30,0,,0,0,0,18439,1,0,1,1,0,0,6,3.02,,0,153.63407
1,1,28,1,65,1,,0,1,1,19533,3,0,2,0,1,1,13,1.78,,2,198.01419
1,4,135,2,63,3,0,0,1,0,18349,1,0,1,1,2,0,30,3.49,,1,304.88763
,1,38,,,2,1,2,0,1,19357,1,0,2,1,1,2,18,3.02,60.8,2,228.90124
,2,103,1,45,0,0,0,0,0,18481,3,0,1,1,0,2,6,2.01,101.0,1,125.78229
1,,124,,55,3,0,0,1,1,19269,0,0,1,0,2,2,30,3.36,,0,185.80271
,1,149,,38,1,0,0,0,1,19727,2,0,1,0,0,2,13,1.05,148.0,1,240.27178
2,1,92,2,,0,1,1,1,1,18424,1,0,1,0,0,1,6,1.6,,2,309.78986
1,1,32,,54,3,,2,0,0,18708,1,0,2,0,0,1,30,2.23,51.2,2,275.2972
2,2,143,1,66,0,,0,0,1,19096,1,0,2,1,0,0,6,2.26,,2,297.86634
2,2,116,0,31,0,0,2,1,0,19467,2,0,1,2,1,1,6,2.45,185.6,0,147.46079
1,2,101,,37,0,1,1,0,1,18418,2,0,2,2,0,1,6,1.42,60.6,2,138.04173
,,148,0,26,0,1,1,1,1,19372,0,0,1,1,1,1,6,3.38,,0,156.40398
1,,57,2,,0,0,0,0,0,18473,1,0,0,2,2,0,6,3.2,,2,214.61653
,1,58,0,38,0,0,2,1,1,19759,3,0,0,1,2,0,6,1.51,,1,78.759
2,2,63,,33,0,0,1,0,0,19690,0,0,2,0,1,1,6,3.08,37.8,1,53.70713
